titulo,autor,año,puntuación,categoría,idioma,análisis,tags,referencia
"La Biblia","Varios autores","s. I–V","10","Clásico católico","es","Texto fundacional de la fe católica. Inspirada por el Espíritu Santo según el Magisterio. El canon católico incluye 73 libros.","Revelación|Dogma|Canon","Dei Verbum, Concilio Vaticano II"
"The Bible","Various authors","1st–5th c.","10","Catholic classic","en","Foundational text of the Catholic faith. Inspired Scripture as defined by the Magisterium. The Catholic canon includes 73 books.","Revelation|Dogma|Canon","Dei Verbum, Vatican II"
"Summa Theologica","Santo Tomás de Aquino","1265–1274","10","Clásico católico","es","Cima de la teología escolástica. Referencia filosófica y teológica del Magisterio. Demuestra la armonía entre fe y razón.","Escolástica|Dogma|Filosofía","Aeterni Patris, León XIII"
"Confesiones","San Agustín de Hipona","397–400","10","Clásico católico","es","Autobiografía espiritual de uno de los Padres de la Iglesia. Modelo de conversión y búsqueda de Dios. Plenamente alineado con la doctrina.","Conversión|Gracia|Patrística","CIC 1700"
"Confessions","St. Augustine","397–400","10","Catholic classic","en","Spiritual autobiography of a Doctor of the Church. A model of conversion and God-seeking. Fully aligned with Catholic doctrine.","Conversion|Grace|Patristics","CCC 1700"
"La Imitación de Cristo","Tomás de Kempis","1418","10","Clásico católico","es","El libro más leído en la Iglesia tras la Biblia. Guía de devoción y vida interior, recomendado por incontables santos y papas.","Devoción|Ascética|Espiritualidad","Recomendado por múltiples Papas"
"The Imitation of Christ","Thomas à Kempis","1418","10","Catholic classic","en","The most-read book in the Church after the Bible. A guide to devotion and interior life, commended by countless saints and popes.","Devotion|Ascetics|Spirituality","Commended by multiple Popes"
"El Señor del Mundo","Robert Hugh Benson","1907","9","Clásico católico","es","Novela distópica profética mencionada por el Papa Francisco. Retrata el relativismo y el anticristianismo con lucidez sorprendente.","Distopía|Fe|Profecía","Mencionada por Papa Francisco (2013)"
"Lord of the World","Robert Hugh Benson","1907","9","Catholic classic","en","Prophetic dystopian novel praised by Pope Francis. Depicts relativism and anti-Christianity with remarkable foresight.","Dystopia|Faith|Prophecy","Praised by Pope Francis (2013)"
"El Señor de los Anillos","J.R.R. Tolkien","1954","9","Clásico católico","es","Tolkien era católico devoto. La obra está impregnada de cosmovisión cristiana: redención, sacrificio, providencia y lucha entre bien y mal.","Redención|Providencia|Bien y mal","Carta de Tolkien a su hijo (1953)"
"The Lord of the Rings","J.R.R. Tolkien","1954","9","Catholic classic","en","Tolkien was a devout Catholic. The work is imbued with Christian themes: redemption, sacrifice, providence and the struggle between good and evil.","Redemption|Providence|Good vs Evil","Tolkien's letter to his son (1953)"
"The Screwtape Letters","C.S. Lewis","1942","8","Catholic classic","en","Though Lewis was Anglican, this book is widely recommended by Catholic theologians for its sharp portrayal of temptation and spiritual warfare.","Spiritual warfare|Temptation|Virtue","Widely recommended by Catholic clergy"
"Mere Christianity","C.S. Lewis","1952","8","Catholic classic","en","Rational defense of Christian faith broadly compatible with Catholic doctrine. Widely used in Catholic apologetics despite Lewis being Anglican.","Apologetics|Faith|Reason","Recommended by Catholic apologists"
"Historia de un Alma","Santa Teresa de Lisieux","1898","10","Clásico católico","es","Autobiografía de la Doctora de la Iglesia. Su 'pequeño camino' es una de las espiritualidades más aprobadas por el Magisterio.","Santidad|Espiritualidad|Infancia espiritual","Canonización 1925, Doctora 1997"
"Story of a Soul","St. Thérèse of Lisieux","1898","10","Catholic classic","en","Autobiography of a Doctor of the Church. Her 'little way' is among the most approved spiritualities in the Magisterium.","Holiness|Spirituality|Little way","Canonized 1925, Doctor 1997"
"Camino","San Josemaría Escrivá","1934","9","Clásico católico","es","Colección de máximas espirituales con aprobación eclesiástica formal. Fundamento espiritual del Opus Dei.","Vida interior|Santificación|Trabajo","Aprobación eclesiástica formal"
"The Way","St. Josemaría Escrivá","1934","9","Catholic classic","en","Collection of spiritual maxims with formal ecclesiastical approval. The spiritual cornerstone of Opus Dei.","Interior life|Sanctification|Work","Formal ecclesiastical approval"
"Introduction to the Devout Life","St. Francis de Sales","1609","10","Catholic classic","en","A Doctor of the Church's guide to holiness in everyday life. One of the most important works of Catholic spiritual direction ever written.","Holiness|Spiritual direction|Virtue","Doctor of the Church"
"El Silencio","Shusaku Endo","1966","8","Clásico católico","es","Meditación sobre la fe, el martirio y la gracia bajo persecución. Recomendada por el Papa Francisco. Lectora exigente pero teológicamente rica.","Martirio|Gracia|Fe","Recomendada por Papa Francisco"
"Silence","Shusaku Endo","1966","8","Catholic classic","en","Deep meditation on faith, martyrdom and grace under persecution. Recommended by Pope Francis. Emotionally demanding but theologically rich.","Martyrdom|Grace|Faith","Recommended by Pope Francis"
"Evangelium Vitae","Papa Juan Pablo II","1995","10","Clásico católico","es","Encíclica sobre la vida humana. Define la posición católica sobre aborto y eutanasia. Referencia directa del Magisterio.","Vida|Bioética|Magisterio","Encíclica papal"
"Theology of the Body","Pope John Paul II","1979–1984","10","Catholic classic","en","Groundbreaking papal catechesis on human sexuality, love and the body. Authoritative Magisterium on marriage and chastity.","Sexuality|Marriage|Body","Papal catechesis, 129 addresses"
"La Divina Comedia","Dante Alighieri","1320","9","Clásico católico","es","Obra maestra medieval estructurada sobre la teología católica del pecado, el purgatorio y el cielo. Plenamente alineada con la escatología católica.","Escatología|Purgatorio|Cielo","Marco teológico católico"
"The Divine Comedy","Dante Alighieri","1320","9","Catholic classic","en","Medieval masterpiece structured around Catholic theology of sin, purgatory and heaven. Fully aligned with Catholic eschatology.","Eschatology|Purgatory|Heaven","Catholic theological framework"
"Seven Storey Mountain","Thomas Merton","1948","9","Catholic classic","en","Autobiography of a convert who became a Trappist monk. One of the most influential Catholic conversion narratives of the 20th century.","Conversion|Monasticism|Contemplation","Widely endorsed by Catholic clergy"
"Orthodoxy","G.K. Chesterton","1908","9","Catholic classic","en","Brilliant intellectual defense of Christian orthodoxy. Chesterton later converted to Catholicism. Fully compatible with Catholic doctrine.","Apologetics|Orthodoxy|Reason","Widely recommended by Catholic clergy"
"El Hobbit","J.R.R. Tolkien","1937","8","Clásico católico","es","Prequel de El Señor de los Anillos con los mismos valores de fondo: humildad, providencia y coraje. Plenamente compatible con valores católicos.","Virtud|Providencia|Aventura","Cosmovisión tolkieniana"
"The Hobbit","J.R.R. Tolkien","1937","8","Catholic classic","en","Prequel to The Lord of the Rings with the same underlying values: humility, providence and courage. Fully compatible with Catholic values.","Virtue|Providence|Adventure","Tolkienian worldview"
"El Exorcista","William Peter Blatty","1971","7","Clásico católico","es","Blatty era católico practicante. La novela defiende la realidad del mal y la eficacia del exorcismo, en línea con la doctrina (CIC 1673). El tono perturbador puede ser difícil para algunos lectores.","Demonología|Exorcismo|Fe","CIC 1673"
"The Exorcist","William Peter Blatty","1971","7","Catholic classic","en","Blatty was a devout Catholic. The novel affirms the reality of evil and the efficacy of exorcism, in line with Catholic doctrine (CCC 1673). Disturbing tone may be hard for some readers.","Demonology|Exorcism|Faith","CCC 1673"
